,playerID,Seasons,Last_season,HoF,Awards,WS_titles,allstars,appearances,G,R,H,HR,RBI,SB,BB,AVG,OBP,SLG,OPS+,wOBA
0,washiro01,10,1989,0,0,0,0,649,564,190,414,20,146,28,65,0.2610340479192938,0.28892835997631733,0.2610340479192938,84.42142154338813,0.2948421052631579
1,plummbi01,10,1978,0,0,0,0,378,367,72,168,14,82,4,95,0.18834080717488788,0.26514399205561073,0.18834080717488788,58.81528486858323,0.26076690211907166
2,wilsore01,10,1960,0,0,0,0,621,602,206,455,24,189,25,215,0.2577903682719547,0.3328424153166421,0.2577903682719547,93.50796210812575,0.3935992943548387
3,stanlmi02,15,2000,0,2,0,1,1644,1467,625,1138,187,702,13,652,0.2695405021316911,0.36841050310683504,0.2695405021316911,124.53542880769852,0.4675966861992323
4,gallemi01,13,1997,0,0,1,0,1272,1111,374,700,42,282,24,326,0.23882633913340157,0.3131103876886653,0.23882633913340157,78.27230033972619,0.29939697428139184
5,orsuljo01,14,1997,0,0,0,0,1640,1494,559,1173,57,405,93,318,0.273235499650594,0.32117098005939754,0.273235499650594,92.78451891685874,0.3172439603106126
6,corkhpo01,10,1892,0,0,0,0,1119,1086,650,1120,31,631,137,174,0.254314259763851,0.2882531426094495,0.254314259763851,91.55273788744414,0.3963597745990464
7,morenom01,12,1986,0,1,1,0,1428,1382,699,1257,37,386,487,387,0.25180288461538464,0.3030468892537858,0.25180288461538464,83.30645444309953,0.33511395694135115
8,steinbi02,14,1985,0,0,0,0,1059,959,268,751,44,311,16,186,0.2671647100675916,0.3100749918487121,0.2671647100675916,93.99677402599349,0.312469320066335
9,bufordo01,10,1972,0,0,1,1,1430,1286,718,1203,93,418,200,672,0.26422139248846915,0.3583317748270058,0.26422139248846915,119.33366293222893,0.34402536715620824
10,stubbfr01,10,1995,0,0,1,0,1048,945,323,602,104,348,74,260,0.2323427248166731,0.3007933770265609,0.2323427248166731,95.68471530074456,0.3209486277269529
11,darkal01,14,1960,0,4,1,3,1858,1828,1064,2089,126,757,59,430,0.2893752597312647,0.3286498914293013,0.2893752597312647,106.47510943583458,0.4024354420534094
12,millafe01,12,1977,0,2,0,3,1486,1480,699,1617,22,403,67,318,0.279226385771024,0.3158893280632411,0.279226385771024,93.07425555562124,0.3081090201168073
13,mccarto01,13,1896,1,0,0,0,1296,1273,1066,1493,44,732,468,536,0.2916015625,0.36225823314166233,0.2916015625,117.70069472778557,0.3576389765159481
14,mccurha01,10,1934,0,0,0,0,567,543,148,326,9,148,12,129,0.2817631806395851,0.3485540334855403,0.2817631806395851,100.57848846740143,0.34735221101629166
15,demarfr02,12,1944,0,1,0,2,1156,1155,578,1241,72,591,33,359,0.29946911196911197,0.3496533795493934,0.29946911196911197,113.88122977163894,0.3679357980960815
16,leibone01,13,1925,0,0,2,0,1281,1268,638,1109,3,284,134,571,0.2661387089032877,0.3487559119884845,0.2661387089032877,99.04727404207318,0.3861062263357173
17,mcinnst01,19,1927,0,5,4,0,2142,2128,872,2405,20,1063,172,380,0.3074661211966249,0.32738026208975995,0.3074661211966249,107.8767895845842,0.3435212378640777
18,burnsge02,16,1929,0,4,2,0,1897,1866,901,2018,72,951,154,363,0.3070135402403773,0.3443937508640951,0.3070135402403773,121.63096658335171,0.386799744535907
19,crigelo01,16,1912,0,1,1,0,1000,1012,337,709,11,342,58,309,0.22142410993129294,0.2876485216910749,0.22142410993129294,77.11489703251404,0.28791595925297114
20,azcuejo01,11,1972,0,0,0,1,939,909,201,712,50,304,5,207,0.25176803394625175,0.3024232633279483,0.25176803394625175,89.54993082198833,0.40203126028298786
21,wehnejo01,11,2001,0,0,0,0,539,461,99,200,4,54,15,73,0.24875621890547264,0.3054626532887402,0.24875621890547264,67.5000234475248,0.2882066210045662
22,rojasco01,16,1977,0,1,0,5,1965,1822,713,1660,54,593,74,396,0.2631161832303059,0.3021394265754621,0.2631161832303059,86.79187225280187,0.3128513473497187
23,ellisjo01,13,1981,0,0,0,0,958,883,259,699,69,391,6,190,0.2616017964071856,0.31149228130360207,0.2616017964071856,101.58724751672707,0.32136869384934336
24,melesa01,10,1956,0,0,0,0,1087,1046,406,916,80,544,15,311,0.26651149258073903,0.32586933614330876,0.26651149258073903,103.415556912111,0.4533105919830104
25,mckecbi01,11,1920,0,0,0,0,851,846,319,713,8,240,127,190,0.2507914175167077,0.28867924528301886,0.2507914175167077,87.04429839468797,0.3429458661417323
26,cardejo02,18,1980,0,0,0,0,2102,2017,936,1913,138,775,329,608,0.2746984491671453,0.33095114345114346,0.2746984491671453,110.64561773470105,0.3639370161396142
27,allisbo01,13,1970,0,1,0,3,1602,1541,811,1281,256,796,84,795,0.25457074721780604,0.3563587231886506,0.25457074721780604,138.74701865420212,0.3720654619843164
28,moneydo01,16,1983,0,0,0,4,1815,1720,798,1623,176,729,80,600,0.26114239742558326,0.323378108030866,0.26114239742558326,109.42683965962723,0.33579003351304093
29,sukefcl01,10,1945,0,0,0,0,516,486,122,326,2,96,12,95,0.2635408245755861,0.31277533039647576,0.2635408245755861,79.52615742137033,0.3046507105459985
30,wilsoji01,18,1940,0,2,2,2,1551,1525,580,1358,32,621,86,356,0.2842193386354123,0.32971635256044163,0.2842193386354123,90.92152760337999,0.36346700310559
31,perryge01,13,1995,0,0,0,1,1258,1193,383,832,59,396,142,328,0.26463104325699743,0.3320102069747661,0.26463104325699743,98.23481605846574,0.32366207687894444
32,schuljo03,11,1925,0,0,0,0,730,703,235,558,15,249,35,116,0.28483920367534454,0.31760859411489956,0.28483920367534454,101.15698021534439,0.4240086496876501
33,wilmowa01,10,1898,0,0,0,0,958,962,727,1100,58,594,383,350,0.275827482447342,0.33477863989046097,0.275827482447342,110.74374787778166,0.3493021814006888
34,mccosba01,11,1953,0,0,0,0,1171,1170,664,1301,24,397,58,497,0.31184084372003834,0.3798319327731092,0.31184084372003834,126.02950371099072,0.4353712331694806
35,backmwa01,14,1993,0,0,1,0,1198,1102,482,893,10,240,117,371,0.27519260400616335,0.3422330097087379,0.27519260400616335,93.87397230591885,0.31746185623795103
36,whitnpi01,12,1939,0,2,0,1,1552,1539,696,1701,93,927,45,400,0.2950563746747615,0.3352857369004274,0.2950563746747615,103.32112360662254,0.4010674538984148
37,bushodo01,13,1890,0,0,2,0,679,672,287,514,2,184,39,124,0.21443471005423445,0.2548476454293629,0.21443471005423445,59.31199677249901,0.24237277404036411
38,mccrato01,13,1975,0,0,0,0,1700,1468,484,972,75,404,143,332,0.24570273003033366,0.3057324840764331,0.24570273003033366,95.94824062595877,0.3302124941941477
39,knorrra01,11,2001,0,0,1,0,260,253,82,153,24,88,0,47,0.22633136094674555,0.2750677506775068,0.22633136094674555,74.45159581240253,0.2913823933975241
40,alicelu01,13,2002,0,0,0,0,1458,1341,551,1031,47,422,81,500,0.25963233442457817,0.34229351831779753,0.25963233442457817,94.20702819832681,0.3256914940502424
41,hoblidi01,11,1918,0,0,2,0,1320,1318,591,1310,27,593,173,407,0.27836804079898003,0.3268156424581006,0.27836804079898003,118.71485545383358,0.3801452145214521
42,bellgu01,15,1964,0,0,0,4,1771,1741,865,1823,206,942,30,470,0.28141401667181226,0.32800791743248975,0.28141401667181226,115.96749633068475,0.36215754892158264
43,ainsmed01,15,1924,0,1,0,0,1084,1078,299,707,22,317,86,263,0.23195538057742782,0.2869666861484512,0.23195538057742782,81.17131597914846,0.3407517303641288
44,stovage01,12,1915,0,0,0,0,1408,1414,547,1382,15,564,142,172,0.2646495595557258,0.2835954253037884,0.2646495595557258,95.80422759419423,0.3050066334991708
45,olsoniv01,14,1924,0,0,0,0,1591,1574,730,1575,13,446,156,285,0.25773195876288657,0.285972850678733,0.25773195876288657,78.30650373589214,0.3034895833333333
46,boudrlo01,15,1952,1,11,1,8,1660,1646,861,1779,68,789,51,796,0.29507380991872617,0.3714936636764915,0.29507380991872617,123.42719624603279,0.37456247266365356
47,husonje01,12,2000,0,0,0,0,1029,827,242,439,8,150,64,191,0.23363491218733368,0.2991533396048918,0.23363491218733368,63.2349415482284,0.2791872299567931
48,lopezhe01,12,1966,0,0,2,0,1519,1450,623,1251,136,591,16,418,0.2693798449612403,0.3268302105466486,0.2693798449612403,110.50468307693558,0.37534946131243874
49,kahoemi01,11,1909,0,0,0,0,397,410,103,278,4,105,21,39,0.21237585943468296,0.2319364161849711,0.21237585943468296,54.679857278729706,0.35159615384615384
50,muellhe01,11,1935,0,0,0,0,703,693,296,597,22,272,37,168,0.2818696883852691,0.33403716216216217,0.2818696883852691,97.35871148226653,0.4144554498269896
51,brutobi01,12,1964,0,0,0,0,1664,1610,937,1651,94,545,207,482,0.27262219286657857,0.32423515296940614,0.27262219286657857,101.74613268606745,0.32610923217550275
