,playerID,Seasons,Last_season,HoF,Awards,WS_titles,allstars,appearances,SO,W,L,G,SV,H,ER,HR,BB,ERA,WHIP,ERA+,FIP
0,cunnibe01,12,1901,0,0,0,0,361,718,142,167,342,2,3071,1283,62,1064,4.222452462213554,1.5120672842515845,93.13157475061249,4.445025841053146
1,hamiljo02,10,2003,0,0,0,0,243,894,74,73,242,1,1408,662,130,493,4.444057682744903,1.4179512680258577,101.19262373831774,4.590800348085529
2,rueteki01,13,2005,0,0,0,0,349,818,130,92,340,0,2092,911,220,582,4.274765380604797,1.3941605839416058,104.2018456096186,4.833244351755301
3,ewingbo01,11,1912,0,0,0,0,309,998,124,118,291,4,2097,637,31,614,2.4915254237288136,1.1781833985223815,114.01658316377473,2.5530950311458787
4,merriji01,11,1975,0,1,0,1,298,932,81,86,297,7,1468,602,160,322,3.653405259608901,1.2070128118678354,96.44643997611361,3.3693978422117326
5,lemonbo01,15,1958,1,9,1,7,623,1277,207,128,460,22,2559,1024,181,1251,3.2336842105263157,1.3368421052631578,118.83256699366825,3.790565964912281
6,fishera01,10,1920,0,0,1,0,278,680,100,94,278,7,1667,550,34,481,2.819441807480539,1.2234668691854946,106.33731211019695,2.881735333206759
7,lawve01,16,1967,0,4,1,2,518,1092,162,147,483,13,2833,1118,268,597,3.7657185628742513,1.283682634730539,100.93109889177468,3.7025371756487027
8,donohpe01,12,1932,0,1,0,0,346,571,134,118,344,12,2439,909,68,422,3.8729682815212247,1.3544263847246332,107.55612076872245,3.8120082057756033
9,fordwh01,16,1967,1,10,6,10,500,1956,236,106,498,10,2766,967,228,1086,2.7451372095468405,1.2150141940910524,138.45505111593127,3.2637825675533585
10,burkejo03,15,2003,0,0,0,2,446,1766,166,136,445,1,2866,1268,257,700,4.309125235997483,1.346507237256136,99.08123746379272,4.112216236626809
11,smithbr01,13,1993,0,0,0,0,365,1028,108,94,365,6,1725,702,140,432,3.5269817640491254,1.2041310011164867,110.28354351332464,3.4502981019724603
12,mongesi01,10,1984,0,0,0,1,435,471,49,40,435,56,708,300,79,356,3.5340314136125652,1.3926701570680629,107.4855302597276,4.903011343804537
13,wightbi01,12,1958,0,0,0,0,348,574,77,99,347,8,1656,686,74,714,3.950095969289827,1.5163147792706333,100.02559914015285,4.427907016421412
14,mooremi01,14,1995,0,0,1,1,452,1667,161,176,450,2,2858,1381,291,1156,4.389287816362566,1.4175397292525014,90.62050003581054,4.2699810476751034
15,fowledi01,10,1952,0,0,0,0,226,382,66,79,221,4,1367,595,96,578,4.10974673829624,1.4927091327705295,92.2170338937312,4.2461125607572265
16,castege01,12,1946,0,0,1,0,380,595,76,100,376,39,1469,695,121,597,4.540285506895717,1.499637067505444,86.74621162326532,4.568746673118799
17,maddumi01,15,2000,0,0,0,0,473,564,39,37,472,20,873,388,67,284,4.052611218568665,1.3427466150870406,104.34698569289259,4.328191876208898
18,stoddti01,13,1989,0,0,0,0,485,582,41,35,485,76,680,320,72,356,3.9470077661032437,1.4198264047510278,97.30344911281406,4.303278666057561
19,stottto01,14,2002,0,2,2,0,373,1587,138,121,372,1,2200,1042,246,816,4.27893536121673,1.3761216730038022,99.52166669051202,4.555019467680609
20,stottme01,11,1974,0,1,0,5,366,1257,164,139,360,1,2435,878,171,809,2.969188376753507,1.218937875751503,118.21095960408991,3.364863351703407
21,youngcy01,22,1911,1,3,1,0,913,2803,511,315,906,18,7092,2147,138,1217,2.6268352365415986,1.1295541054921152,128.1203888039115,2.9349294453507335
22,splitpa01,15,1984,0,0,0,0,430,1057,166,143,429,1,2644,1082,192,780,3.8118475991649268,1.3402922755741127,97.96890889530295,3.72994493736952
23,grimsro02,11,1982,0,0,0,1,346,750,124,99,345,3,2105,863,202,559,3.8085975809087937,1.3063092513893428,97.21814081737826,4.150133050016346
24,barkele01,11,1987,0,0,0,1,248,975,74,76,248,5,1289,639,96,513,4.344749433392093,1.3613699320070511,89.10369923161049,3.779484512717199
25,murphro01,11,1995,0,0,0,0,597,520,32,38,597,30,598,252,54,247,3.6385026737967916,1.3556149732620322,110.30545277505276,3.792400534759358
26,lockwsk01,13,1980,0,0,0,0,472,829,57,97,420,68,1130,488,98,490,3.5533980582524274,1.3106796116504855,101.93876129321438,3.5264948759439054
27,turlebo01,12,1963,0,5,2,3,310,1265,101,85,310,12,1366,693,140,1068,3.6416893732970026,1.4211755546905411,106.67673697031353,4.204560724017127
